video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"YzQsDq93Jps","O Embaixador no Agronegócio - Gusttavo Lima","2020-10-18T01:30:55Z","UCXooz9whNJZBRTHi9AqdjPw","Gusttavo Lima Oficial","10","20.18.10","Slap Música|Arrocha|Música Sertaneja (Musical Genre)|Pop|Gustavo Lima|Gusttavo Lima|Gatinha Assanhada|Tchererê Tche Tche|Sony|Sony Music|Buteco|Buteco do Gusttavo Lima|Buteco do Gusttavo Lima 2|O Embaixador|Homem de Família|Abre o Portão Que Eu Cheguei|Que Pena Que Acabou|Apelido Carinhoso|Na Hora de Amar|Mil Vezes Cantarei|Cem Mil|Eu Não Iria|Sujeito|Carrinho na Areia|Milu","10228660","404713","9897","11076","https://i.ytimg.com/vi/YzQsDq93Jps/default.jpg","False","False","Com uma superprodução, a Live O Embaixador no Agronegócio acontecerá numa lavoura e também traz como atrações confirmadas os artistas Jonas Esticado e Bruno & Denner. A transmissão será a partir das 17h/horário local e 18h/horário de Brasília.🔔 Se inscreva no meu canal no YouTube: https://bit.ly/YTGusttavoLima 🔔 Se inscreva no canal Filtr: http://bit.ly/FiltrnoYT O show continua na playlist Melhores Sertanejos! Vem curtir uma moda boa com o Filtr  https://FiltrBR.lnk.to/MelhoresSertan...Ouça os sucessos do Embaixador na sua plataforma preferida!Spotify: https://SMB.lnk.to/GLNoSpotify Deezer: https://SMB.lnk.to/GLNaDeezerFiltr: https://FiltrBR.lnk.to/MelhoresSertan... Apple Music: https://SMB.lnk.to/GLNaAppleMusic YouTube Music: https://bit.ly/GLNoYTMusic YouTube: https://SMB.lnk.to/GLNoYouTube Siga Gusttavo Lima nas redes sociais:https://facebook.com/gusttavolimaoficialhttps://instagram.com/gusttavolimahttps://twitter.com/gusttavo_limaTAGS#GusttavoLima #OEmbaixador #OEmbaixadorNoAgronegócio #BrunoEDenner #JonasEsticadoSiga Gusttavo Lima nas redes sociais!Facebook: https://www.facebook.com/gusttavolimaoficial/Youtube: https://www.youtube.com/gusttavolimaoficialInstagram: https://www.instagram.com/gusttavolima/Twitter: https://twitter.com/gusttavo_limaSite: http://gusttavolima.com.br/"
"l1T-ubVmjVk","LBFF - Rodada 17 - Grupos C e A | Free Fire","2020-10-17T19:58:05Z","UCr4ARxgElIO21GWfIraZezg","Free Fire - Brasil","20","20.18.10","free fire|free fire ao vivo|ao vivo|lbff ao vivo|lbff|free fire brasil|liga brasileira de free fire","1981712","169580","1719","861","https://i.ytimg.com/vi/l1T-ubVmjVk/default.jpg","False","False","Grupo ABlack DragonsGod EsportsLos GrandesFURIASantosSS EsportsGrupo BpaiN GamingFlamengoLOUDKabumTeam LiquidFEARGrupo CRed CanidsINTZVivo KeydCorinthiansNewxGamingCruzeiroSiga as redes sociais de Garena Free Fire e fique por dentro de tudo!Twitter - https://twitter.com/esportsfreefireInstagram - https://www.instagram.com/esportsfreefireFacebook - https://www.facebook.com/FreeFireEsportsBRDiscord - http://discord.gg/freefire#LBFF #FreeFire"
"NBcf5Co44FQ","Nós terminamos","2020-10-17T22:05:29Z","UCWfFJSooNntGwBnyhzGeDwA","Gabi Magsan","22","20.18.10","[none]","193880","34138","1760","233","https://i.ytimg.com/vi/NBcf5Co44FQ/default.jpg","False","False",""
"oPyeCWrtOWQ","Boteco Prime - Lucas Guimarães Convida","2020-10-17T06:15:00Z","UCPdHWqkyXG7JBcsOv0sT6Bg","Tierry Oficial","10","20.18.10","[none]","2830702","139196","1921","1212","https://i.ytimg.com/vi/oPyeCWrtOWQ/default.jpg","False","False",""
"VDBc1etieAA","Brawl Stars: Brawl Talk! LEGENDARY Brawler, Brawl-o-ween, and MORE!","2020-10-17T08:00:13Z","UCooVYzDxdwTtGYAkcPmOgOw","Brawl Stars","20","20.18.10","brawl stars|mobile game|mobile strategy game|mobile rpg|mobile battle royale|battle royale|supercell game|legendary|brawl talk|brawloween|haloween|brawler","10513849","668520","7881","59843","https://i.ytimg.com/vi/VDBc1etieAA/default.jpg","False","False","Download NOW!! ►► https://supr.cl/playbrawlBe a BRAWLER! Subscribe! ►► https://supr.cl/subscribeFast-paced 3v3 multiplayer and battle royale made for mobile! Play with friends or solo across a variety of game modes in under three minutes.Unlock and upgrade dozens of Brawlers with powerful Super abilities, Star Powers and Gadgets! Collect unique skins to stand out and show off. Battle in a variety of mysterious locations within the Brawliverse!BATTLE IN MULTIPLE GAME MODES- Gem Grab (3v3): Team up and out-strategize the opposing team. Collect and hold 10 gems to win, but get fragged and lose your gems.- Showdown (Solo/Duo): A battle royale style fight for survival. Collect power ups for your Brawler. Grab a friend or play solo - be the last Brawler standing in the rowdiest battle royale yet. Winner take all!- Brawl Ball (3v3): It's a whole new Brawl game! Show off your soccer/football skills and score two goals before the other team. There are no red cards here.- Bounty (3v3): Take out opponents to earn stars, but don’t let them pick you off. The squad with the most stars wins the match!- Heist (3v3): Protect your team’s safe and try to crack open your opponents’. Navigate the map to sneak, blast and blow your way clear to the enemies treasure.- Special Events: Limited time special PvE and PvP game modes.- Championship Challenge: Join Brawl Stars' esports scene with in-game qualifiers!UNLOCK AND UPGRADE BRAWLERSCollect and upgrade a variety of Brawlers with powerful Super abilities, Star Powers and Gadgets! Level them up and collect unique skins.BRAWL PASSComplete quests, open Brawl Boxes, earn Gems, pins and an exclusive Brawl Pass skin! Fresh content every season.BECOME THE STAR PLAYERClimb the local and regional leaderboards to prove you’re the greatest Brawler of them all!CONSTANTLY EVOLVINGLook out for new Brawlers, skins, maps, special events and games modes in the future.PLEASE NOTE! Brawl Stars is free to download and play, however, some game items can also be purchased for real money. If you don't want to use this feature, please disable in-app purchases in your device's settings. Also, under our Terms of Service and Privacy Policy, you must be at least 9 years of age to play or download Brawl Stars.Features:- Team up for real-time 3v3 battles against players from across the world- A fast-paced multiplayer battle royale mode made for mobile- Unlock and collect new, powerful Brawlers - each with a signature attack and Super ability- New events and game modes daily- Battle solo or with friends- Climb to the top of the leaderboards in global and local rankings - Join or start your own Club with fellow players to share tips and battle together- Customize Brawlers with unlockable skins- Player-designed maps offer challenging new terrain to masterFrom the makers of Clash of Clans, Clash Royale and Boom Beach!Support:Contact us in-game via Settings, Help and Support — or visit http://supercell.helpshift.com/a/brawl-stars/Privacy Policy:http://supercell.com/en/privacy-policy/Terms of Service:http://supercell.com/en/terms-of-service/Parent's Guide:http://supercell.com/en/parents/???:https://www.youtube.com/wkbrl"
"oHr3Q_GyDnM","CONTROLE TUDO COM SEU CELULAR! - NFC","2020-10-17T22:00:09Z","UCuxfOdbKQy0tgGXcm9sjHiw","Coisa de Nerd","28","20.18.10","leon|coisadenerd|coisa de nerd|português|brasil|pt-br|br|NFC|near-field communication|tag de nfc|cartão|cartão de visita|smartphone|celular|smart|senha do wi-fi|smarthome|universal remote|controle remoto|controle remoto universal|tecnologia","309065","57809","360","1279","https://i.ytimg.com/vi/oHr3Q_GyDnM/default.jpg","False","False","Deixe um joinha!Este é um vídeo sobre Tags de NFC (Near-Field Communication). É uma tecnologia que permite que você execute funções no seu smartphone aproximando um objeto dele (seja um adesivo, um chaveiro ou um cartão de visita). É algo muito útil para transferir informação e fazer a automação de dispositivos smart.Além disso, nós falamos também do Broadlink Universal Remote, um dispositivo de infravermelho (IR) e ondas de rádio (RF) que permite que você controle vários dispositivos (como TV) com o celular."
"hLVpK3sYXNA","O SÓSIA DO RENATO CHEGOU PARA CONHECER OS HUNTERS *ficaram em choque *","2020-10-17T11:44:47Z","UCfzgzFA3WhrkowZEWjQpWkA","IRENE NÓBREGA","24","20.18.10","renato garcia|renan fiorini|thiago reis|gui nobre|boquinha|hunters squad|caçadores de lendas|londrina|sosia|amigos|familia|familia garcia|comedia|entretenimento|risos|miguel lopes","447658","48329","741","2176","https://i.ytimg.com/vi/hLVpK3sYXNA/default.jpg","False","False","Deixe seu like, compartilha, comente e se inscreva no canalLink do MEU INSTAGRAM: https://www.instagram.com/irenenobregaMeu email comercial: irenenobregacomercial@gmail.com"
"Gwtt6yklGac","Set DJ GM 4.0 - MC'S Lipi, Paulin da Capital,Lele JP, Nathan ZK,Ryan SP, Nego do Borel, Piedro,Theus","2020-10-16T21:00:12Z","UC9OMsuaqvGdF0MtK3gYYNkA","Love Funk","10","20.18.10","funk|mc|sp love funk|love filmes|kondzilla|kond|zilla|2020|LOVE FUNK|LOVE FUNK TV|toguro","1338360","133477","1400","3787","https://i.ytimg.com/vi/Gwtt6yklGac/default.jpg","False","False","Inscrevam-se no NOVO CANAL da LOVE FUNK:https://bit.ly/CanalRevelacaonaFavelaArtista:  MC'S Lipi, Paulin da Capital, Lele JP,  Nathan ZK, Ryan SP, Nego do Borel, Theus Costa, Piedro e Neguinho do ITR Musica: SET DJ GM 4.0Produção: DJ GMStudios Love FunkAdquira Já os Produtos LOVE FUNKhttps://lovefunkstore.com.br/Atendimento no Whatsapp (11) 94843-9258Redes Sociais dos Artistas Instagram: @DJGMOficial Instagram: @MCPaulindaCapital Instagram: @MCLipiOficialInstagram: @MCNathanZK_Instagram: @LeleJPInstagram: @TheusCostaOficialInstagram: @MCPiedroOficialInstagram: @MCNeguinhodoITR_Instagram: @NegodoborelInstagram: @MCRyanSP🎤 Contato Shows: (11) 98336-9988 LOVE FUNK 🥇 (falar com Morais) @moraislovefunkoficialFicha TécnicaDireção: Tony SenaEdição:  Tony SenaProduzido por Love FilmesFaça seu vídeo Clipe com a Love Filmes (11) 94904-4907 Gabriel @MadrugaLovefunk(11) 97793-4674 Barone @BaroneLoveFunk(14) 98805-4216 Pedro @tonellilovefunkEste videofonograma é um produto original e próprio da Gravadora e Editora. A cópia dele ou o reenvio do mesmo resultará em grandes implicações ao seu canal do youtube ou até a exclusão do mesmo.LOVE FUNK FILMES ®Siga no instagram@Lovefunkoficial@LovefunkProdutora@LoveFunkTV@Mansaolovefunk#LoveFunk #SetDJGM4.0 #FunkAno 2020💗 Likecoin – Coins for Likes: https://likecoin.pro/@henriquerato/pdz3/fvl9"
"LLXPr_Jcwkg","Ordem Paranormal RPG: DESCONJURAÇÃO - Teaser","2020-10-17T22:15:48Z","UC2Dkdvw6-ladrHmWZNx2gRA","Lives do Cellbit","24","20.18.10","Cellbit|ordem|paranormal|RPG|desconjuração|o segredo na floresta|teaser|anuncio","109143","36373","80","3137","https://i.ytimg.com/vi/LLXPr_Jcwkg/default.jpg","False","False","🔗 REDES DO CELLBIT 🔗• Ao vivo: http://twitch.tv/cellbit• Twitter: http://twitter.com/cellbit• Facebook: https://www.facebook.com/Cellbit• Instagram: http://instagram.com/cellbitos📼 GALERINHA QUE EDITA 📼@CreyativeMediahttps://twitter.com/CreyativeMedia"
"2Dv1Cwi8B7A","VAMOS NOS MUDAR!!! PORQUE ?! #NOVAETAPA","2020-10-17T18:51:08Z","UC2T7RmT4ivpYEzvlrYSBIvw","Casinha da Sabrina","22","20.18.10","2#33&CASA3*003SAH","138343","33507","217","3487","https://i.ytimg.com/vi/2Dv1Cwi8B7A/default.jpg","False","False","TOUR NA CASA https://www.youtube.com/watch?v=1xbkEsDwvd4⚠️RECADO IMPORTANTE💕Para que o YouTube entenda que você quer receber os meus vídeos ✔Deixe seu like ✔Comente ✔ CompartilheBalacobaco Aromas⬇️ https://www.balacobacoaromas.com.br/?parceiro=3159Cupom SABRINAhttps://instagram.com/balacobacoaromas?igshid=1r2pmgtdly03i📫QUER ME ENVIAR ALGO???CAIXA POSTAL 80CEP 11310-971 SÃO VICENTE-SP♥ A bonita que ainda não é inscrita já clica ai no botão inscrever-se pois é muito bom ter você pertinho de mim. E quem já é inscrita Deus abençoe por todo o carinho e por fazer parte dessa família de bonitas que cada dia cresce mais e mais. O carinho de vocês me encanta se expressando através de comentários, mensagens e e-mail. Obrigada pela atenção, amor e trocas de experiências!Pois eu amo aprender com vocês tbm!!!Saber que tenho a companhia e participação de vocês, faz tudo valer a pena e ter sentido! Deus abençoe a cada uma que me assiste, torce e ora por mim.Como eu sempre falo é muito bom ter vocês pertinho de mim.#rumoa1MILHÃO ❤️MINHAS REDES SOCIAISBlog: http://casinhadasabrina.blogspot.com.br/Facebook: https://www.facebook.com/casinhadasab...Instagram: https://www.instagram.com/casinhadasa...Pinterest: Casinha da Sabrina 💻CONTATO PESSOAL \ PROFISSIONALsilva.sabrina2012@bol.com.br 🎬🎥 EQUIPAMENTOS DO CANALEDITOR DE VÍDEO Wondershare filmora💻 Baixe o Filmora no site oficial : 👇https://filmora.wondershare.com/pt-br/editor-de-video/?utm_source=filmora_br_influencer&utm_medium=youtube_referral&utm_campaign=CasinhadaSabrina201902SOFTBOX | Soufoto TRIPÉ | Slik F630 ElginCAMERA VLOG | G7x MARK IICAMERA | Canon T5i Lente 18 135mmMÚSICA | Epidemic Sound www.epidemicsound.com“Porque aos seus anjos dará ordem a teu respeito, para te guardarem em todos os teus caminhos.”"
