video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,duration
"-ewm56D9DzY","『劇場版「鬼滅の刃」無限列車編』公開中PV","2020-10-25T12:54:21Z","UC14QT5j2nQI8lKBCGtrrBQA","アニプレックス","1","20.27.10","鬼滅の刃|無限列車編|少年ジャンプ|アニプレックス","9058277","260181","3732","0","https://i.ytimg.com/vi/-ewm56D9DzY/default.jpg","True","False","『劇場版「 #鬼滅の刃 」無限列車編』公開中PV　「心を燃やせ」アニメ公式サイトhttps://kimetsu.com/anime/公開劇場情報https://theater.toho.co.jp/toho_theaterlist/kimetsu.html【スタッフ】原作： #吾峠呼世晴 （集英社ジャンプ コミックス刊）監督：外崎春雄　キャラクターデザイン・総作画監督：松島晃　脚本制作： #ufotable　サブキャラクターデザイン：佐藤美幸・梶山庸子・菊池美花プロップデザイン：小山将治　コンセプトアート：衛藤功二・矢中勝・樺澤侑里　撮影監督：寺尾優一　3D監督：西脇一樹　　色彩設計：大前祐子　編集：神野学　音楽：梶浦由記・椎名豪　主題歌：LiSA「炎」(SACRA MUSIC)アニメーション制作：ufotable配給：東宝・アニプレックス【キャスト】竈門炭治郎      ：花江夏樹竈門禰󠄀豆子      ：鬼頭明里我妻善逸　      ：下野 紘嘴平伊之助      ：松岡禎丞煉󠄁獄杏寿郎      ：日野 聡煉󠄁獄槇寿郎      ：小山力也煉󠄁獄瑠火        ：豊口めぐみ煉󠄁獄千寿郎      ：榎木淳弥魘夢（下弦の壱）：平川大輔猗窩座（上弦の参）：石田 彰【Twitter】https://twitter.com/kimetsu_off","1M31S"
"CM4CkVFmTds","TWICE I CAN'T STOP ME M/V","2020-10-26T08:59:54Z","UCaO6TYtlC8U5ttz62hTrZgg","JYP Entertainment","10","20.27.10","TWICE|트와이스|eyeswideopen mv|I cant stop me mv|icantstopme mv|twice I cant stop me mv|twice eyes wide open mv|twice eyes wide open music video|twice I cant stop me music video|twice music video I cant stop me|twice music video eyes wide open|twice 2nd full album|twice full album|아이즈와이드오픈|아이캔트스탑미|트와이스 아이즈와이드오픈|트와이스 아이캔트스탑미|트와이스 정규2집|트와이스 정규2집 아이즈와이드오픈|트와이스 정규 2집 아이캔트스탑미|아이즈와이드오픈 뮤비|아이캔트스탑미 뮤비","21944556","2267144","28848","668229","https://i.ytimg.com/vi/CM4CkVFmTds/default.jpg","False","False","TWICE I CAN'T STOP ME M/VTWICE 2nd Album Eyes wide open LISTEN NOW:https://TWICE.lnk.to/EyeswideopenTWICE Official Shop: https://TWICE.lnk.to/ShopTWICE Official YouTube: http://www.youtube.com/c/TWICETWICE Official Facebook: http://www.facebook.com/JYPETWICETWICE Official Twitter: http://www.twitter.com/JYPETWICETWICE Official Instagram: http://www.instagram.com/TWICETAGRAMTWICE Official Homepage: http://TWICE.jype.comTWICE Official Fan's: http://fans.jype.com/TWICEⓒ 2020 JYP Entertainment. All Rights Reserved#TWICE #Eyeswideopen #ICANTSTOPME","3M41S"
"yIv4R8EOybU","[We NiziU!~We need U!~] Teaser1","2020-10-27T02:00:03Z","UCHp2q2i85qt_9nn2H7AvGOw","NiziU Official","24","20.27.10","niziu|NiziU|Makeyouhappy|make you happy|JYP|Sony|JYP nation|M/V|M/V Teaser|Pre-Debut|니쥬|needyou|nizi project|nizipro|니지프로젝트|마야|마코|리마|리오|미이히|마유카|아야카|니나|리쿠|maya|mako|rima|miihi|mayuka|rio|ayaka|nina|riku|ニジュー|虹プロジェクト|虹プロ|ニジプロ|アイドル|オーディション番組|スッキリ|マヤ|マコ|リマ|リオ|ミイヒ|マユカ|アヤか|ニナ|リク|JYPさん|パクッチ|モチゴリ|떡고|박진영|트와이스|잇지|twice|itzy|girl group|k-pop|j-pop","566306","36483","334","1252","https://i.ytimg.com/vi/yIv4R8EOybU/default.jpg","False","False","[We NiziU!~We need U!~] Teaser12020.11.05 Friday 20:00 ON AIRNiziU Official Homepage: https://niziu.com/NiziU Official YouTube: https://www.youtube.com/c/NiziUOfficialNiziU Official Facebook: https://www.facebook.com/NiziUinfoofficialNiziU Official Twitter: https://twitter.com/NiziU__officialNiziU Official Instagram: https://www.instagram.com/niziu_info_official/NiziU Official Artist Instagrm: https://www.instagram.com/niziu_artist_official/NiziU Official TikTok: https://vt.tiktok.com/U2WDoG/NiziU Official FANCLUB WithU: http://fc.niziu.comNiziU Official FANCLUB WithU MOBILE: http://m.niziu.comJYP nation Japan Official Twitter : https://twitter.com/JYPE_JAPANJ.Y. Park Official Facebook: http://www.facebook.com/followjypJ.Y. Park Official Homepage: http://jyp.jype.com#NiziU #Makeyouhappy #NiziProject©2020 JYP Entertainment.／Sony Music Entertainment (Japan) Inc. All rights reserved.","1M1S"
"k-amupfoQBE","Apex Legends | Stories from the Outlands – “Promise”","2020-10-26T15:00:10Z","UC0ZV6M2THA81QT9hrVWJG3A","Apex Legends","20","20.27.10","Apex Legends|Apex Legends characters|new Apex Legend|Apex Legends Horizon|Apex Legends Season 7|Apex Legends Ascension|Battle Pass|Season 7 Battle Pass|Apex Legends new season|Apex Legends game|Respawn Apex Legends|Battle Royale game|Battle Royale|Battle Royale shooter|Apex Games|squad play|multiplayer shooter|Apex Legends PS4|Apex Legends Xbox|Apex Legends PC|Apex Legends Origin|Respawn Entertainment|Electronic Arts|Titanfall 2|fun battle royale","2077651","150694","1787","16598","https://i.ytimg.com/vi/k-amupfoQBE/default.jpg","False","False","Nearly a century ago, Dr. Mary Somers was hired to solve a cataclysmic energy crisis. Her search for answers would take her to the edge of the universe. Before Mary left Olympus, she promised her son she’d return. But was it a promise she’d be able to keep?Apex Legends™ is a free-to-play battle royale game where legendary characters battle for glory, fame, and fortune on the fringes of the Frontier. Play for free now on Xbox One, PS4, and Origin for PC. And play on Steam when Season 7 launches on November 4 !  Learn more about Apex Legends Season 7 – Ascension: http://x.ea.com/65921 Check out our YouTube channel: http://x.ea.com/56710.Follow us on Twitter: https://twitter.com/playapex.Follow us on Instagram: https://www.instagram.com/playapex/.#MeetHorizon #ApexSeason7 #ApexSeason7 #ApexLegends","4M13S"
"njmCfnhInEE","２０２０年阪神ドラフト1位 近畿大学・佐藤輝明選手がスタジオ生出演！","2020-10-27T01:14:20Z","UCy5FXq97q7v-lBBURU7SHSQ","読売テレビ","24","20.27.10","#ytv|#読売テレビ|#すまたん|#すまたんスポーツ|#ドラフト|#ドラフト１位|#近畿大学|#佐藤輝明|#大学野球|#アマ野球|#野球好き|#KDU|#ホームラン|#阪神タイガース|#阪神","92213","0","0","475","https://i.ytimg.com/vi/njmCfnhInEE/default.jpg","False","True","興奮冷めやらぬドラフト会議から一夜明け、近畿大学の佐藤輝明選手がす・またん！に生出演！ファンから呼んでもらいたい愛称とは？さらにいきなりのホームラン王宣言！？さらに！プロのスカウトに負けじと、ドラフト前の佐藤選手を独占取材！秘蔵映像はコチラ！↓↓https://www.youtube.com/watch?v=9JMmlMFbQIg&list=PLZgGjVl9DT3cigk3M9ZxH6F0JCLJxYHcd&index=7未来のスパースターの素顔を是非ご覧ください！　「す・またん！」公式ホームページhttps://www.ytv.co.jp/cematin/","9M34S"
"D70oVJdp0xQ","【ドラフト会議2020】近畿大・佐藤は阪神が交渉権　指名後に会見（2020年10月26日）","2020-10-26T09:55:28Z","UC8XBizOfQBLUrUcv_9DHCog","THE PAGE（ザ・ページ）","25","20.27.10","ニュース|UC8XBizOfQBLUrUcv_9DHCog|THE PAGE（ザ・ページ）|気になるニュースをわかりやすく|ヤフー|Yahoo!|ドラフト会議|プロ野球|高校野球|高橋宏斗|早川隆久|佐藤輝明|五十幡亮汰|牧秀悟|巨人|阪神|ロッテ","229839","610","70","277","https://i.ytimg.com/vi/D70oVJdp0xQ/default.jpg","False","False","プロ野球のドラフト会議が26日、開かれ、近畿大の佐藤輝明内野手は1巡目で4球団の競合の末、阪神タイガースが交渉権を獲得した。■チャンネル登録：https://yahoo.jp/zaoidV■THE PAGEの記事一覧：https://yahoo.jp/g2tIKq#thepage_jp#記者会見#ドラフト会議","36M58S"
"STJuzI6_CyE","帰宅したら速水もこみちが本気でチャーハン作ってるドッキリwww","2020-10-25T12:30:11Z","UCpOjLndjOqMoffA-fr8cbKA","水溜りボンド","24","20.27.10","水溜りボンド|都市伝説|検証|実験|科学|お笑い|面白|面白い|企画|楽しい|ワクワク|カンタ|トミー","1014010","28870","1048","2351","https://i.ytimg.com/vi/STJuzI6_CyE/default.jpg","False","False","速水もこみちさんのチャンネルはこちら！https://www.youtube.com/c/MocomichiHayami/featuredチャーハン１粒ずつ炒めたら最強にパラパラなチャーハンできるんじゃね？https://youtu.be/SaNAvTUxeQE本気でチャーハン作るドッキリwwwwwwhttps://youtu.be/B0wUNqespvE【本物の猿】本気でチャーハン作るドッキリwwwwwhttps://youtu.be/NK6l9I1Nju4本気でチャーハン作ってワクワク♪ドッキリhttps://youtu.be/HR04YhcnLpA全国HMVで発売したグッズがMUUUにて発売開始！https://muuu.com/videos/f010e2813a4757dd水溜りボンド2020年夏グッズはこちら！https://muuu.com/videos/8cda20a7227163b6/ぜひチェックしてみてください〜＜しゃべる！水溜りボンドLINEスタンプ＞https://00m.in/AcJcI＜水溜りボンドLINEスタンプ＞https://00m.in/2mzGU＜水溜りボンドのグッズ＞https://muuu.com/users/c7bf52c2b9fb5c5aおすすめでございます！！動画がいいなと思っていただけたら高評価押してください！再生数よりもこちらを参考にして動画を作りたい！！そして少しでも面白いなと思っていただけたらぜひ【チャンネル登録】お願いします！５年間１度も休まず毎日投稿しております！少しでもみなさんが楽しんでいただければ幸いです。☆水溜りボンドを初めて知った方に是非見ていただきたい動画はこちら！☆https://www.youtube.com/watch?v=BvRvt6Nxny8●水溜りボンドの日常！僕らのサブチャンネルです。毎日比較的ゆったりやってます〜https://www.youtube.com/channel/UCaTFX7ckdowpnwHWcJGH2KQ●水溜りボンドのオールナイトニッポン０の詳細はこちらからぜひフォローお願いいたします！！https://twitter.com/mizuann0●限定動画や専用の絵文字など。チャンネルメンバーシップはこちらから！https://www.youtube.com/channel/UCpOjLndjOqMoffA-fr8cbKA/join●水溜りボンドグッズはこちら！全てこだわって作ってます！！https://muuu.com/users/c7bf52c2b9fb5c5a◆Twitterカンタのアカウントhttps://twitter.com/kantamizutamariトミーのアカウントhttps://twitter.com/miztamari_nikki■インスタグラムカンタのアカウントhttps://bit.ly/2UckzePトミーのアカウントhttps://www.instagram.com/tommymizutamaribond/ーーーーーー人気なシリーズまとめておきました！ーーーーーーよく使用している友人のBGM作曲者さん↓https://twitter.com/gt_k_2014?lang=ja素材提供 Music-Note.jp（ミュージックノート）他の楽曲提供：Production Music by http://www.epidemicsound.com素材提供 PIXTA","27M34S"
"iy3kCot44Zc","【モニタリング】超甘えん坊な彼女を無視し続けたら可愛すぎたwwwwwww","2020-10-26T11:05:11Z","UCucf4KOVO9zEUveextdrgqw","うたかおカップル","22","20.27.10","モニタリング|ドッキリ|カップル|えちえち|うたかお|TikTok","116307","7697","386","1168","https://i.ytimg.com/vi/iy3kCot44Zc/default.jpg","False","False","こんにちは〜！うたかおカップルのゆうたです。初モニタリングで僕もすごいそわそわしちゃいました笑かおりの可愛い姿をみんなにも見てもらえたら嬉しいです。ちなみにこの後は2人でお菓子を食べながらゲームをしたりクロスワードパズルをしたりお話ししたり、、たくさん遊びました笑今日も見てくれてありがとう！みんなコメント待ってるね☺️エンディングにみんなが描いてくれた絵を載せていきたいなと思ってるので、ぜひ「インスタのタグ付け投稿」か「TwitterのDM」に送ってくれると嬉しいです。どんなのでもOK〜👌気軽に送ってね！待っています☺️ーーーーーーーーーーーーーーーーーーーーーーーー【Instagram】かおり→https://www.instagram.com/kaori_0218_/ゆうた→https://www.instagram.com/yuta_0807_/【Twitter】かおり→https://twitter.com/kaori_utakaoゆうた→準備中すぐ作ります!【TikTok】「うたかおカップル」で検索!→www.tiktok.com/@utakao_couple","9M29S"
"Hrp9ORtN9XI","『滝沢歌舞伎 ZERO 2020 The Movie』スペシャル予告篇","2020-10-25T22:00:02Z","UCulneJtjMARpEHhWQTlGa6w","松竹チャンネル/SHOCHIKUch","24","20.27.10","[none]","300392","26517","220","0","https://i.ytimg.com/vi/Hrp9ORtN9XI/default.jpg","True","False","『滝沢歌舞伎 ZERO 2020 The Movie』10月・11月新橋演舞場、南座、御園座にて特別上映 ／12.4（金）～全国ロードショーEternal producer：ジャニー喜多川監督：滝沢秀明振付：五関晃一（A.B.C-Z)出演：Snow Man（岩本照、深澤辰哉、ラウール、渡辺翔太、向井康二、阿部亮平、目黒蓮、宮舘涼太、佐久間大介）　　　佐藤新、影山拓也、鈴木大河、基俊介、椿泰我、横原悠毅、松井奏、小田将聖／ジャニーズJr.企画・配給：松竹©2020「滝沢歌舞伎 ZERO 2020 The Movie」製作委員会公式HP： https://movies.shochiku.co.jp/takizawakabuki-zero-movie/公式Twitter：https://twitter.com/tkz2020_movie公式Instagram：https://www.instagram.com/tkz2020_movie/#滝沢歌舞伎ZERO2020 #SnowMan#滝沢秀明 #五関晃一","1M31S"
"_4xOaU2XnNU","あの名作に１文字足したらツッコミどころ満載過ぎてやばいｗｗｗ","2020-10-26T10:00:06Z","UCNFhaCR_nid2XbqdFNgLoWA","スマイリー","24","20.27.10","スマイリー|なろ屋|ツッコミ","437847","18750","194","1692","https://i.ytimg.com/vi/_4xOaU2XnNU/default.jpg","False","False","🤤スマイリーです。良ければチャンネル登録・高評価SNSフォローお願いします！ツイッターhttps://mobile.twitter.com/yasuner1103インスタグラムhttps://www.instagram.com/yasuner1103/サブチャンネルhttps://www.youtube.com/channel/UCz9GXhk9_Es12tEes77PSig【人気過去動画】575でオンラインバトルしたら神の一句ができました。https://youtu.be/-7z610Gz3xo【BGM・SE素材】DOVA-SYNDROMEhttps://dova-s.jp/d-elf.comhttps://www.d-elf.com/Music　isVFRhttp://musicisvfr.com/free/license.htmlMusMushttp://musmus.main.jp/bgm.html音人https://on-jin.com/魔王魂https://maoudamashii.jokersounds.com/ポケットサウンド https://pocket-se.info/OtoLogichttps://otologic.jp/free/license.html【画像素材】イラストAC写真ACシルエットACいらすとやぱくたそhttps://www.pakutaso.com/イラストレイン【動画素材】無料映像素材 フリー素材館http://www.namaewallpaper.com/movie/index.htmlmotion elementshttps://www.motionelements.com/ja/free/stock-footage※動画によっては使用していない場合もあります。","2M2S"
